"","pixels","ecoregion.name","function.current","cv.current","richness.loss","FDis.loss","function.loss","cv.loss"
"1",15,"Aegean_and_Western_Turkey_sclerophyllous_and_mixed_forests",0.23,1.27,"-5%","-8%","-94%","-74%"
"2",16,"Alai.Western_Tian_Shan_steppe",0.55,0.98,"-5%","-6%","-80%","-65%"
"3",73,"Alashan_Plateau_semi.desert",0.96,1.4,"-5%","-5%","-59%","-46%"
"4",19,"Alaska.St._Elias_Range_tundra",1.14,2.55,"-5%","-4%","-70%","-57%"
"5",16,"Alberta.British_Columbia_foothills_forests",1.25,2.02,"-7%","-14%","-84%","-77%"
"6",14,"Albertine_Rift_montane_forests",3.86,18.91,"-1%","-1%","-14%","-3%"
"7",13,"Alps_conifer_and_mixed_forests",0.41,1.64,"-7%","-10%","-93%","-78%"
"8",14,"Altai_montane_forest_and_forest_steppe",1.8,4.05,"-5%","-5%","-63%","-46%"
"9",11,"Altai_steppe_and_semi.desert",1.28,2.63,"-6%","-7%","-82%","-69%"
"10",48,"Alto_Parana._Atlantic_forests",1.34,2.63,"-7%","-6%","-86%","-76%"
"11",12,"Amur_meadow_steppe",1.57,1.41,"-2%","-2%","-56%","-55%"
"12",21,"Angolan_mopane_woodlands",1.76,4.5,"-3%","-2%","-50%","-30%"
"13",17,"Angolan_scarp_savanna_and_woodlands",2.52,17.32,"-2%","-2%","-29%","-8%"
"14",47,"Angolan_wet_miombo_woodlands",2.88,6.41,"-2%","-2%","-24%","-14%"
"15",19,"Appalachian_mixed_mesophytic_forests",0.7,0.8,"-10%","-17%","-92%","-90%"
"16",14,"Appalachian_Piedmont_forests",0.67,0.32,"-10%","-17%","-92%","-95%"
"17",19,"Appalachian.Blue_Ridge_forests",0.71,2.89,"-10%","-17%","-92%","-75%"
"18",84,"Arabian_desert",0.19,0.11,"-7%","-6%","-83%","-79%"
"19",80,"Arabian_sand_desert",0.15,0.03,"-7%","-5%","-83%","-83%"
"20",12,"Arabian.Persian_Gulf_coastal_plain_desert",0.15,0.05,"-4%","-5%","-79%","-75%"
"21",23,"Araucaria_moist_forests",1.38,2.87,"-8%","-8%","-86%","-75%"
"22",54,"Aravalli_west_thorn_scrub_forests",1.21,0.86,"-4%","-2%","-48%","-46%"
"23",11,"Arctic_coastal_tundra",0.7,0.03,"-8%","-4%","-82%","-95%"
"24",11,"Arizona_Mountains_forests",1.1,3.34,"-8%","-11%","-85%","-67%"
"25",16,"Arnhem_Land_tropical_savanna",0.46,1.3,"0%","-1%","7%","2%"
"26",14,"Badghyz_and_Karabil_semi.desert",0.41,0.21,"-4%","-5%","-78%","-84%"
"27",15,"Bahia_coastal_forests",1.17,3.98,"-5%","-5%","-83%","-61%"
